unique_id,timepoint,age,gender,exclude_master,attention_check_1,attention_check_2,SITES_completeness,IRI_completeness,EQ_completeness,PET_completeness,EYES_completeness,PTP_completeness,SITES,IRI_FS,IRI_EC,IRI_PT,IRI_PD,IRI_total,EQ_total,EQ_cog,EQ_aff,EQ_soc,PET_total,EYES_total,PTP_simple,PTP_reversed,PTP_doublereversed,PTP_total,PTTA_total,IRI_1,IRI_2,IRI_3,IRI_4,IRI_5,IRI_6,IRI_7,IRI_8,IRI_9,IRI_10,IRI_11,IRI_12,IRI_13,IRI_14,IRI_15,IRI_16,IRI_17,IRI_18,IRI_19,IRI_20,IRI_21,IRI_22,IRI_23,IRI_24,IRI_25,IRI_26,IRI_27,IRI_28,EQ_1,EQ_4,EQ_6,EQ_8,EQ_10,EQ_11,EQ_12,EQ_14,EQ_15,EQ_18,EQ_19,EQ_21,EQ_22,EQ_25,EQ_26,EQ_27,EQ_28,EQ_29,EQ_32,EQ_34,EQ_35,EQ_36,EQ_37,EQ_38,EQ_39,EQ_41,EQ_42,EQ_43,EQ_44,EQ_46,EQ_48,EQ_49,EQ_50,EQ_52,EQ_54,EQ_55,EQ_57,EQ_58,EQ_59,EQ_60,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7,EYES_1,EYES_2,EYES_3,EYES_4,EYES_5,EYES_6,EYES_7,EYES_8,EYES_9,EYES_10,EYES_11,EYES_12,EYES_13,EYES_14,EYES_15,EYES_16,EYES_17,EYES_18,EYES_19,EYES_20,EYES_21,EYES_22,EYES_23,EYES_24,EYES_25,EYES_26,EYES_27,EYES_28,EYES_29,EYES_30,EYES_31,EYES_32,EYES_33,EYES_34,EYES_35,EYES_36,PTP_1,PTP_2,PTP_3,PTP_4,PTP_5,PTP_6,PTP_7,PTP_8,PTP_9,PTTA_1,PTTA_2,PTTA_3,PTTA_4,PTTA_5,PTTA_6,PTTA_7,PTTA_8,PTTA_9,PTTA_10,PTTA_11,PTTA_12,PTTA_13,PTTA_14,PTTA_15,PTTA_16,PTTA_17,PTTA_18,PTTA_19,PTTA_20,PTTA_21,PTTA_22,PTTA_23,PTTA_24,PTTA_25,PTTA_26,PTTA_27,PTTA_28,PTTA_29,PTTA_30,PTTA_31,PTTA_32
104,1,31,male,include,passed,passed,complete,complete,complete,complete,complete,complete,2,5,4,16,4,29,26,12,7,7,2.5714285714285716,20,2,1,2,5,16,1,0,4,1,0,1,1,4,1,0,3,0,1,0,1,1,0,2,1,0,1,0,0,0,1,2,1,2,2,1,0,2,1,2,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,2,2,0,0,2,0,0,1,1,1,0,0,0,0,1,0,1,0,1,4,2,1,2,4,3,2,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,22,female,include,passed,passed,complete,complete,complete,complete,complete,complete,3,20,14,19,13,66,20,4,11,7,3.857142857142857,28,3,4,1,8,13,3,2,2,1,4,2,2,4,3,2,3,3,1,2,2,2,3,2,2,2,3,2,3,2,2,3,1,3,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0,1,2,1,1,1,0,1,0,0,0,0,1,2,2,4,4,5,5,5,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,68,female,include,passed,passed,complete,complete,complete,complete,complete,complete,5,9,27,27,3,66,69,28,22,9,4.857142857142857,25,3,3,1,7,13,0,3,4,4,3,0,1,4,4,3,4,4,0,4,3,0,0,4,0,4,4,4,1,0,4,0,0,4,2,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,5,4,5,5,5,5,5,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,54,male,include,passed,passed,complete,complete,complete,complete,complete,complete,5,12,22,20,6,60,39,19,14,7,3.857142857142857,28,3,4,0,7,8,4,3,3,3,2,1,1,3,4,2,3,2,0,2,2,0,1,3,1,3,3,4,2,0,3,1,1,3,2,1,1,1,0,0,0,2,1,2,2,1,2,2,2,0,0,1,0,0,0,1,1,2,1,1,0,1,1,2,2,0,0,1,2,1,0,1,1,1,2,2,4,5,5,5,4,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1,50,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,18,18,19,14,69,53,21,15,10,4.857142857142857,28,3,3,0,6,5,2,3,3,1,3,2,3,2,3,3,2,3,2,2,3,3,3,3,1,3,4,3,2,2,3,2,1,2,1,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,0,0,1,2,1,2,2,2,0,2,2,1,2,2,2,2,1,0,1,2,1,1,0,2,5,5,5,5,5,5,4,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1,23,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,18,20,19,16,73,40,16,12,5,3.857142857142857,28,3,3,2,8,9,3,4,4,1,2,3,2,2,3,3,3,2,2,3,2,3,2,4,2,3,2,2,2,1,3,4,3,3,2,1,1,0,0,1,1,2,1,0,1,1,0,1,2,1,0,1,2,0,0,2,2,1,0,2,2,1,2,0,1,1,1,1,1,1,1,1,1,1,4,4,5,5,1,5,3,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1,39,male,include,passed,passed,complete,complete,complete,complete,complete,complete,5,2,22,22,15,61,29,11,10,8,4.571428571428571,26,3,2,0,5,5,1,4,3,1,0,1,0,3,4,4,3,0,3,3,4,0,2,3,1,4,3,3,0,1,3,1,3,3,1,0,0,0,0,1,1,1,0,2,2,1,0,0,1,2,0,1,2,0,0,0,0,1,0,1,1,1,1,1,0,1,0,2,0,1,1,1,1,1,5,5,5,4,5,5,3,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1,61,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,9,21,21,11,62,49,13,18,10,3.4285714285714284,29,3,4,1,8,5,1,2,4,4,2,2,1,3,3,1,2,4,2,3,4,0,2,4,2,2,3,3,1,1,2,0,1,3,1,1,2,1,2,2,2,2,1,2,1,2,1,1,1,2,1,2,2,0,0,1,1,2,2,1,1,1,1,2,2,2,0,1,0,1,0,1,0,1,4,2,3,3,4,5,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1,42,female,include,passed,passed,complete,complete,complete,complete,complete,complete,5,8,26,23,10,67,51,21,18,6,5,14,3,0,1,4,8,0,4,2,4,2,2,0,4,4,4,4,0,0,2,1,2,0,4,0,4,4,4,2,0,4,2,4,4,1,0,2,0,0,2,2,2,1,2,1,2,1,2,2,2,0,0,2,0,1,2,2,2,0,2,1,2,2,2,2,0,1,1,1,2,1,1,1,1,5,5,5,5,5,5,5,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1,40,female,include,passed,passed,complete,complete,complete,complete,complete,complete,5,19,26,19,18,82,50,18,18,6,4.571428571428571,20,3,4,2,9,4,4,4,3,4,3,2,2,4,4,3,3,3,3,4,1,2,4,4,2,3,3,3,2,2,2,3,2,3,1,1,2,0,0,2,1,1,1,1,2,0,1,1,2,2,1,1,2,0,0,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,5,3,5,5,5,5,4,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1,58,male,include,passed,passed,complete,complete,complete,complete,complete,complete,4,26,18,21,6,71,53,18,16,11,4.142857142857143,24,3,3,1,7,7,3,2,3,2,3,1,4,4,3,1,4,4,3,3,4,4,0,3,1,3,4,2,4,0,0,4,0,2,2,1,1,0,2,2,2,2,1,2,0,1,1,2,2,2,2,1,1,2,1,2,1,2,0,2,0,1,2,2,2,1,2,1,1,1,0,1,1,1,5,2,3,5,5,5,4,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1,37,female,include,passed,passed,complete,complete,complete,complete,complete,complete,5,19,24,24,22,89,51,17,17,11,4.571428571428571,26,2,1,1,4,6,2,3,4,4,2,3,3,4,4,3,4,3,3,2,3,2,4,4,3,3,3,4,4,4,3,3,2,3,2,1,2,0,2,1,2,2,1,2,0,1,2,1,1,1,1,1,2,2,1,2,1,2,0,2,1,2,2,2,2,1,0,1,0,1,1,1,1,1,5,2,5,5,5,5,5,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1,50,male,include,passed,passed,complete,complete,complete,complete,complete,complete,5,14,25,19,16,74,32,12,13,5,4.142857142857143,26,3,4,0,7,4,2,3,4,4,1,4,1,3,3,3,3,4,2,3,1,2,3,4,1,4,4,4,3,0,2,1,3,2,1,0,1,1,1,1,2,0,1,2,1,1,1,1,1,1,0,0,2,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,5,4,4,4,4,4,4,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1,30,male,include,passed,passed,complete,complete,complete,complete,complete,complete,5,16,20,22,13,71,37,10,14,10,3.142857142857143,28,3,3,2,8,9,2,3,4,4,2,3,3,3,3,3,4,3,2,2,3,2,2,3,1,3,3,2,2,1,3,2,1,2,1,1,1,0,2,0,1,1,0,2,1,2,0,1,1,1,2,0,0,2,0,1,2,2,0,1,1,1,1,2,2,0,1,1,1,0,1,0,0,1,3,2,4,4,2,4,3,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,22,female,include,passed,passed,complete,complete,complete,complete,complete,complete,5,28,23,26,18,95,49,11,21,8,3.857142857142857,29,3,4,0,7,6,4,4,4,0,4,4,4,4,4,4,4,4,2,4,4,4,4,4,1,4,4,3,4,1,2,4,2,4,2,1,1,0,2,2,2,1,2,2,1,2,2,1,1,2,0,0,2,2,1,0,0,2,1,1,2,0,1,2,1,2,2,1,0,1,1,0,2,1,2,2,4,5,4,5,5,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1,45,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,25,25,24,13,87,53,18,21,10,4.714285714285714,28,3,4,0,7,5,3,3,4,4,3,3,4,4,4,0,2,4,4,4,3,3,3,4,0,3,4,3,4,0,3,4,3,4,2,1,2,0,1,2,2,2,1,2,2,1,1,1,2,1,0,0,2,1,0,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,0,1,2,1,5,3,5,5,5,5,5,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,60,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,22,20,22,5,69,43,17,16,7,4.857142857142857,33,3,2,1,6,8,2,1,3,3,3,1,4,4,4,1,4,4,0,1,1,1,3,4,0,4,4,3,4,0,3,4,0,3,2,0,0,0,0,2,1,1,1,2,2,2,1,1,2,1,0,1,1,0,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,0,0,2,5,5,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,1,74,female,include,passed,passed,complete,complete,complete,complete,complete,complete,3,15,17,21,7,60,32,12,10,6,3.7142857142857144,30,3,4,0,7,0,2,2,3,1,2,1,1,3,3,1,3,3,1,3,3,2,1,3,1,3,3,2,2,1,3,3,1,3,2,1,0,0,0,2,0,2,1,2,1,0,1,1,1,1,1,0,1,0,0,0,1,2,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,4,4,4,4,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1,41,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,25,27,21,22,95,44,16,18,10,4.285714285714286,26,3,3,2,8,8,4,4,4,4,4,4,4,4,4,4,3,4,3,3,2,2,4,4,1,4,3,4,3,3,3,4,3,2,2,0,2,0,1,2,2,1,0,2,1,1,1,0,2,1,0,1,2,0,0,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,0,1,1,1,5,2,4,5,5,5,4,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,1,22,female,include,passed,passed,complete,complete,complete,complete,complete,complete,5,18,27,23,14,82,48,25,15,10,4.428571428571429,32,3,4,2,9,5,4,4,4,3,3,1,1,3,4,3,4,4,1,4,1,2,4,4,1,4,3,4,2,1,4,2,3,4,2,0,2,0,0,1,1,2,0,2,2,1,2,2,2,2,0,1,2,0,0,2,0,1,0,2,2,2,2,0,0,0,1,2,2,2,1,2,2,1,4,3,5,5,4,5,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1,30,male,include,passed,passed,complete,complete,complete,complete,complete,complete,4,20,24,16,13,73,36,13,13,7,3.2857142857142856,25,3,4,1,8,13,4,3,2,4,2,1,2,3,3,3,2,3,3,4,2,2,2,4,1,3,3,3,4,1,2,3,2,2,1,0,1,0,0,2,2,1,0,1,1,1,0,1,1,1,2,1,2,1,2,0,0,2,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,4,1,4,3,4,4,3,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1,19,male,include,passed,passed,complete,complete,complete,complete,complete,complete,3,4,10,16,9,39,21,6,10,3,2.142857142857143,23,1,3,0,4,15,1,1,2,1,0,1,3,4,3,2,3,0,1,1,2,0,1,2,4,2,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,1,0,2,0,1,1,1,0,0,1,1,2,1,0,1,0,0,0,2,0,0,1,2,1,3,2,2,3,2,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1,22,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,24,27,21,17,89,41,15,18,8,4.571428571428571,26,3,2,0,5,9,4,3,3,4,2,3,4,2,4,3,3,4,3,4,3,3,3,4,3,4,3,4,4,1,4,3,1,3,1,0,2,0,1,1,0,2,0,2,0,1,2,2,1,1,0,0,2,1,1,1,1,2,0,1,2,1,1,2,2,1,1,1,1,1,0,1,1,1,4,4,5,5,4,5,5,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,1,22,male,include,passed,passed,complete,complete,complete,complete,complete,complete,4,16,15,13,20,64,29,13,9,9,3.7142857142857144,27,3,4,0,7,17,3,2,2,1,3,4,2,2,3,4,2,3,3,2,2,1,4,2,3,2,2,3,2,0,1,2,2,2,0,0,1,0,0,2,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,2,0,1,1,1,2,2,0,0,1,0,1,2,1,1,0,1,4,3,4,4,3,5,3,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1,26,male,include,passed,passed,complete,complete,complete,complete,complete,complete,3,14,12,13,12,51,18,7,5,5,2.7142857142857144,14,3,4,2,9,8,2,1,2,3,1,2,3,2,1,2,1,3,3,3,2,2,1,2,1,1,3,1,1,1,2,2,2,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,4,2,2,3,3,3,2,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1,25,female,include,passed,passed,complete,complete,complete,complete,complete,complete,5,4,28,24,11,67,59,27,14,8,2.857142857142857,20,3,4,0,7,3,2,4,2,4,0,2,0,4,4,2,4,0,2,4,4,0,2,4,0,4,4,4,0,0,2,2,3,4,2,1,2,1,1,2,1,2,2,2,2,1,1,2,2,2,0,1,2,2,2,2,2,0,0,2,0,2,2,2,2,2,0,2,2,1,0,2,1,2,1,1,5,5,1,5,2,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1,29,female,include,passed,passed,complete,complete,complete,complete,complete,complete,5,28,28,23,22,101,65,25,22,12,4.857142857142857,33,3,4,1,8,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,2,4,4,1,3,4,3,4,2,1,2,0,1,2,2,2,0,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,5,4,5,5,5,5,5,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,1,32,female,include,passed,passed,complete,complete,complete,complete,complete,complete,5,12,14,16,20,62,21,10,7,3,3.5714285714285716,9,3,4,1,8,2,4,0,0,3,0,4,0,4,4,4,4,0,4,0,0,4,0,0,0,4,4,3,4,4,0,0,4,4,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,2,0,0,0,1,0,0,0,1,1,2,1,0,0,1,4,2,4,4,2,5,4,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,1,22,female,include,passed,passed,complete,complete,complete,complete,complete,complete,5,24,28,28,14,94,64,22,22,11,4.857142857142857,33,3,3,1,7,8,4,4,4,4,4,4,1,4,4,2,4,3,4,4,4,4,1,4,1,4,4,4,4,0,4,4,2,4,2,0,2,0,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,0,1,2,2,5,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,1,24,female,include,passed,passed,complete,complete,complete,complete,complete,complete,5,22,26,20,18,86,30,14,9,2,4.714285714285714,23,3,4,1,8,2,4,4,2,4,3,3,3,3,4,3,3,2,1,4,1,3,4,4,1,3,3,3,3,2,4,4,4,4,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,2,0,1,0,1,1,0,1,0,1,2,1,1,1,1,1,1,5,4,5,5,5,5,4,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
134,1,28,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,21,19,19,11,70,27,11,11,6,3.2857142857142856,28,1,3,1,5,4,4,2,4,2,3,1,3,2,3,2,2,2,2,3,3,3,1,3,1,3,2,3,3,2,3,3,2,3,1,0,0,0,0,2,0,1,0,2,1,1,1,0,1,1,0,1,1,0,0,0,0,2,0,2,1,0,1,1,1,0,1,2,0,0,0,1,0,2,4,2,4,4,1,5,3,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1,27,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,13,15,16,15,59,46,20,16,9,2.2857142857142856,31,3,4,2,9,7,2,1,3,3,2,3,2,3,2,3,2,2,2,2,2,1,3,3,1,1,3,3,2,1,1,2,2,2,1,1,1,2,1,0,1,2,2,2,1,2,1,1,1,0,0,1,2,0,0,2,1,1,1,2,0,2,2,2,2,0,1,1,1,1,1,1,1,2,2,2,3,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1,38,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,14,17,17,13,61,52,25,12,9,3.7142857142857144,27,2,4,0,6,7,3,3,1,1,3,2,1,3,3,2,3,1,2,2,3,1,2,3,1,2,3,3,3,3,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,0,0,1,2,1,0,0,1,2,2,2,1,1,0,2,1,2,2,1,2,0,1,1,2,2,1,1,0,2,4,2,4,4,4,5,3,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,1,26,male,include,passed,passed,complete,complete,complete,complete,complete,complete,4,13,21,21,7,62,42,19,10,6,2.7142857142857144,25,2,2,0,4,14,3,3,4,4,1,1,1,3,2,2,4,2,1,3,2,2,1,4,1,3,2,2,2,0,3,2,1,3,1,1,1,1,1,2,1,1,1,2,2,1,0,1,1,0,0,1,0,1,2,1,2,1,0,2,1,0,2,2,1,2,0,1,2,2,0,1,0,1,3,2,3,3,3,3,2,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
